,,,,,,
,メインKW,,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,画像,,,,
,2,動画,,,,
,3,ショート動画,,,,
,4,ショッピング,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,6680,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,ピラティス 向いてる人,➖,ピラティス 太ってる人 いない,ピラティス 向いている,ピラティス 太ってる人 いない,ピラティスのターゲット層は?
,ピラティス 向いてる人 男性,,ピラティス 太ってる人 服装,ピラティス 向いている人,ピラティス 太ってる人 服装,ピラティスをやっている人の特徴は?
,ピラティス 向いてる人 特徴,,ピラティス 太っている,ピラティス 特徴,ピラティス 太っている,ピラティスをやらない方がいい人は?
,ピラティス インストラクター 向いてる人,,ピラティス 初心者 きつい,ピラティス 向いていない,ピラティス 初心者 きつい,ピラティスに向いてない人は?
,マシン ピラティス 向いてる人,,マシンピラティス 体型変化,ピラティス 向いていない人,マシンピラティス 体型変化,
,ヨガ ピラティス 向いてる人,,ピラティス 服装 恥ずかしい,,ピラティス 服装 恥ずかしい,
,,,ピラティス 服装 ユニクロ,,ピラティス 服装 ユニクロ,
,,,ピラティス 太ってる 恥ずかしい,,ピラティス 太ってる 恥ずかしい,
,,,ピラティス 太ってる人 知恵袋,,ピラティス 太ってる人 知恵袋,
,,,ピラティス 服装 gu,,ピラティス 服装 gu,
,,,ピラティス 服装 初心者,,ピラティス 服装 初心者,
,,,ピラティス 服装 GU,,ピラティス 服装 GU,
,,,ピラティス 恥ずかしい,,ピラティス 恥ずかしい,
,,,ピラティス 服装,,ピラティス 服装,
,,,ピラティス 向いてない人,,ピラティス 向いてない人,
,,,ピラティス 向い てる 骨格,,ピラティス 向い てる 骨格,
,,,ピラティスとヨガの違い,,ピラティスとヨガの違い,
,,,マシン ピラティス 向い てる 人,,マシン ピラティス 向い てる 人,
,,,ピラティス やってそうな人,,ピラティス やってそうな人,
,,,ピラティス 楽しく ない,,ピラティス 楽しく ない,
,,,ピラティス ウェア 体型カバー,,ピラティス ウェア 体型カバー,
,,,ピラティス ウェア 私服,,ピラティス ウェア 私服,
,,,マシンピラティス 痩せない,,マシンピラティス 痩せない,
