,,,,,,
,メインKW,,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,画像,,,,
,2,動画,,,,
,3,ショッピング,,,,
,4,ニュース,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,6363,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,一万円札 ホログラムなし,一万円札 ホログラムなし 価値,福沢諭吉,万円札,一万円札 ホログラムなし 価値,ホログラムのない1万円札は使えますか?
,一万円札 ホログラムなし atm,一万円札 福沢諭吉 ホログラムなし,発行,諭吉 札,一万円札(ホログラムなし 買取),ホログラムのない一万円札は使えますか?
,一万円札 ホログラムなし 価値,一万円札(ホログラムなし 買取),ホログラム,一万円,一万円札 福沢諭吉 ホログラムなし,ホログラムなしの1万円札は使えますか?
,一万円札 ホログラムなし いつまで,一万円札(ホログラムなし 銀行),開始,1万円,一万円札 ホログラムなし いつまで,ホログラムなしの諭吉の価値はいくらですか?
,一万円札 ホログラムなし いつから,一万円札 ホログラムなし コンビニ,裏面,1万円 札,一万円札(ホログラムなし 銀行),ホログラムなしの一万円札の買い取り価格はいくらですか?
,一万円札 ホログラムなし コンビニ,一万円札 ホログラムなし いつまで,印刷,1 万円札,一万円札 キジ2匹 価値,一万円札にホログラムがないのは偽札ですか?
,一万円札 ホログラムなし 買取,一万円札 ホログラム なし 偽物,日本銀行,福沢諭吉 札,旧一万円札,偽一万円札の見分け方は?
,一万円札 ホログラムなし 偽物,ホログラム なし 一万円札 atm,紙幣,1万円 ホログラム,一万円札 ホログラム なし 偽物,昔の一万円札は今いくらで売れますか?
,一万円札 ホログラムなし 銀行,一万円札 キジ2匹 価値,お札,ホログラム 1万円,一万円札(ホログラムなし atm),ホログラムのない一万円札はatmで使えますか?
,一万円札 ホログラムなし 使えない,旧一万円札,表面,一万円札,一万円札(ホログラムなし ATM),1万円札のホログラムなしの価値はいくらですか?
,一万円札 福沢諭吉 ホログラムなし atm,旧一万円札 福沢諭吉 違い,mm,一 万 円 札 旧 札,一万円札 キジ2匹 使える,ホログラムがついていないお札は?
