,,,,,,
,メインKW,,,,,
,サブKW,,,,,
,,,,,,
,,,,,,
,強調スニペット/AI overview 有無,,←有の場合には、その内容も対策する（表が出てくる場合には表を作成する）,,,
,AI overview,,,,,
,,,,,,
,,,,,,
,バーティカル検索,,←バーティカル検索（すべて除く）を左から順に記載。検索意図（ユーザーの求める情報の形）を把握する,,,
,1,画像,,,,
,2,動画,,,,
,3,ニュース,,,,
,4,ショッピング,,,,
,,,,,,
,,,,,,
,対策文字数,,←ラッコキーワードで見出し抽出画面の平均文字数を記載,,,
,5966,,,,,
,,,,,,
,,,,,,
,KW種類,含めるべき場所,利用ツール,調査方法とやること,,
,顕在KW,見出し,"Googleサジェスト
ラッコキーワード","①Google検索に対策KWを入れて顕在KWを抽出する（シークレットモード）
もしくはラッコキーワードで「Googleサジェスト」を抽出する",,
,潜在KW,本文,"Google再検索ワード
GetKeyword","①Google検索下部の「他の人はこちらも検索」のKWを抽出（シークレットモード）
もしくはGetKeywordの「再検索ワード」を抽出
※無料会員登録することで1日複数回利用可となる",,
,共起語,本文,ラッコキーワード,①ラッコキーワードの「共起語β」を用いて共起語を抽出,,
,ターシャリ,タイトル,rurico,"①ruricoの「タイトルへのKWD使用状況」を見て、類似率が60％以上のものを抽出
※DLしたExcelファイルの左から6つ目のシートを確認",,
,PAA,本文,ラッコキーワード,①ラッコキーワードの「潜在的な検索キーワード/質問（LSI/PAA）から抽出,,
,QA,見出し,GetKeyword,"①Google検索結果の「関連する質問」を抽出
もしくはGetKeywordの「質問文」から抽出
※無料会員登録することで1日複数回利用可となる",,
,,,,,,
,,,,,,
,↓上記の調査方法を用いて、それぞれのKWを調査・記載。再検索/サジェストのネガティブ情報を盛り込む,,,,,
,顕在KW,潜在KW,共起語,ターシャリ,PAA,QA
,二千円札 消えた理由,二千円札 入手方法 2025,発行,2000 円 札,二千円札 入手方法 2025,2000円札を最近見ないのですが、なぜでしょうか?
,,二千円札 消えた理由,紙幣,2000円札,二千円札 消えた理由,2000円札の発案者は誰ですか?
,,二千円札 発行 停止 いつ,流通,2 000円札,二千円札 発行 停止 いつ,2000円札はいくらで売れますか?
,,2000円札 価値 ピン札,日本,2 000,2000円札 メルカリ,2000円札はレアですか?
,,二千円札 価値,沖縄県,2000 円,二千円札 とっておく,2000円札が少ない理由は何ですか?
,,二千円札 沖縄,日本銀行,2000 札,二千円札 なぜ 作っ た,2000円札が欲しい時はどうすればいいですか?
,,二千円札 プレミア,守礼門,二千円,二千円札 誰が 作っ た,2000円札の価値は2025年にいくらですか?
,,2000円札 メルカリ,記念,二千,二千円札 プレミア,二千円札のピン札は価値がありますか?
,,二千円札 誰が 作っ た,沖縄,,二千円札 両替 ゆうちょ,2000円札はなぜ沖縄だけにあるのですか?
,,二千円札 とっておく,サミット,,二千円札 沖縄,2000円札はどこに行った?
,,二千円札 なぜ 作っ た,ドル,,2000円札 価値 上がる,2000円札が普及しない理由は何ですか?
,,2000円札 価値 上がる,ATM,,2000円札 価値 ピン札,2000円札は使ってもいいですか?
,,二 千円札 メルカリ,開催,,2000円札 価値 今後,2千円札のレア度は?
,,二千円札 両替 ゆうちょ,首里城,,二 千 円 札 珍しい,atmで2000円札は出せますか?
,,二 千 円 札 入手 方法 2026,理由,,新二千円札 人物,二千円札のレアな番号は?
,,新二千円札 人物,表面,,二千円札 入手方法 2024,2000円札のピン札の価値はいくらですか?
,,二千円札 いくらで 売れる,お札,,二千円札 発行 停止,aaで始まる新札は価値がありますか?
,,2000円札 価値 今後,千円札,,2000円札 両替できる ところ,二千円札の発行は中止になったのはいつですか?
,,二千円札 使える,印刷,,二千円札 入手方法 沖縄,2000円札はどこへ行った?
